signature,chromatic_number,a2,a3
@,0,1,2
A?,0,1,2
A_,0,1,2
B?,0,1,2
BO,0,1,2
BW,0,1,2
Bw,0,1,2
C?,0,1,2
CC,0,1,2
CE,0,1,2
CF,0,1,2
CQ,0,1,2
CU,0,1,2
CT,0,1,2
CV,0,1,2
C],0,1,2
C^,0,1,2
C~,0,1,2
D??,0,1,2
D?_,0,1,2
D?o,0,1,2
D?w,0,1,2
D?{,0,1,2
DCO,0,1,2
DCo,0,1,2
DCW,0,1,2
DCc,0,1,2
DCw,0,1,2
DCs,0,1,2
DC{,0,1,2
DEo,0,1,2
DEw,0,1,2
DEs,0,1,2
DEk,0,1,2
DE{,0,1,2
DFw,0,1,2
DF{,0,1,2
DQo,0,1,2
DQg,0,1,2
DQw,0,1,2
DQ{,0,1,2
DUW,0,1,2
DUw,0,1,2
DU{,0,1,2
DTw,0,1,2
DTk,0,1,2
DT{,0,1,2
DV{,0,1,2
D]w,0,1,2
D]{,0,1,2
D^{,0,1,2
D~{,0,1,2
E???,0,1,2
E?A?,0,1,2
E?B?,0,1,2
E?B_,0,1,2
E?Bo,0,1,2
E?Bw,0,1,2
E?`?,0,1,2
E?b?,0,1,2
E?`_,0,1,2
E?aG,0,1,2
E?b_,0,1,2
E?`o,0,1,2
E?bG,0,1,2
E?bo,0,1,2
E?bg,0,1,2
E?bw,0,1,2
E?r?,0,1,2
E?oo,0,1,2
E?r_,0,1,2
E?qo,0,1,2
E?rG,0,1,2
E?qg,0,1,2
E?ow,0,1,2
E?ro,0,1,2
E?rg,0,1,2
E?qw,0,1,2
E?rw,0,1,2
E?z_,0,1,2
E?zO,0,1,2
E?zo,0,1,2
E?zg,0,1,2
E?zW,0,1,2
E?zw,0,1,2
E?~o,0,1,2
E?~w,0,1,2
ECO_,0,1,2
ECR?,0,1,2
ECQ_,0,1,2
ECQO,0,1,2
ECR_,0,1,2
ECRO,0,1,2
ECQo,0,1,2
ECRo,0,1,2
ECRW,0,1,2
ECRw,0,1,2
ECpO,0,1,2
ECr_,0,1,2
ECrO,0,1,2
ECpo,0,1,2
ECrG,0,1,2
ECqg,0,1,2
ECro,0,1,2
ECrg,0,1,2
ECrW,0,1,2
ECrw,0,1,2
ECZ?,0,1,2
ECX_,0,1,2
ECYO,0,1,2
ECZ_,0,1,2
ECZO,0,1,2
ECZG,0,1,2
ECXg,0,1,2
ECYW,0,1,2
ECZo,0,1,2
ECZg,0,1,2
ECZW,0,1,2
ECZw,0,1,2
ECeW,0,1,2
ECfo,0,1,2
ECfW,0,1,2
ECfw,0,1,2
ECxo,0,1,2
ECzo,0,1,2
ECzg,0,1,2
ECzW,0,1,2
ECxw,0,1,2
ECzw,0,1,2
ECvo,0,1,2
ECvW,0,1,2
ECuw,0,1,2
ECvw,0,1,2
EC~o,0,1,2
EC~w,0,1,2
EEr_,0,1,2
EErO,0,1,2
EEro,0,1,2
EErW,0,1,2
EErw,0,1,2
EEh_,0,1,2
EEj_,0,1,2
EEio,0,1,2
EEho,0,1,2
EEiW,0,1,2
EEhW,0,1,2
EEjo,0,1,2
EEjW,0,1,2
EEhw,0,1,2
EEjw,0,1,2
EEz_,0,1,2
EEzO,0,1,2
EEzo,0,1,2
EEzg,0,1,2
EEzw,0,1,2
EEvo,0,1,2
EEvW,0,1,2
EEuw,0,1,2
EEvw,0,1,2
EEno,0,1,2
EElw,0,1,2
EEnw,0,1,2
EE~w,0,1,2
EFz_,0,1,2
EFzo,0,1,2
EFzW,0,1,2
EFzw,0,1,2
EF~w,0,1,2
EQhO,0,1,2
EQj_,0,1,2
EQjO,0,1,2
EQig,0,1,2
EQjo,0,1,2
EQjg,0,1,2
EQjw,0,1,2
EQzO,0,1,2
EQzo,0,1,2
EQzg,0,1,2
EQzW,0,1,2
EQyw,0,1,2
EQzw,0,1,2
EQ~o,0,1,2
EQ~w,0,1,2
EUZ_,0,1,2
EUZO,0,1,2
EUZo,0,1,2
EUZw,0,1,2
EUxo,0,1,2
EUzo,0,1,2
EUzW,0,1,2
EUzw,0,1,2
EU~w,0,1,2
ETzo,0,1,2
ETzg,0,1,2
ETzw,0,1,2
ETno,0,1,2
ETmw,0,1,2
ETnw,0,1,2
ET~w,0,1,2
EV~w,0,1,2
E]zo,0,1,2
E]zg,0,1,2
E]yw,0,1,2
E]zw,0,1,2
E]~o,0,1,2
E]~w,0,1,2
E^~w,0,1,2
E~~w,0,1,2
F????,0,1,2
F??C?,0,1,2
F??E?,0,1,2
F??F?,0,1,2
F??F_,0,1,2
F??Fo,0,1,2
F??Fw,0,1,2
F?AA?,0,1,2
F?AE?,0,1,2
F?AB?,0,1,2
F?ACG,0,1,2
F?AF?,0,1,2
F?AB_,0,1,2
F?AEG,0,1,2
F?AF_,0,1,2
F?ABo,0,1,2
F?AFG,0,1,2
F?AFo,0,1,2
F?AFg,0,1,2
F?AFw,0,1,2
F?BE?,0,1,2
F?B@_,0,1,2
F?BF?,0,1,2
F?BD_,0,1,2
F?B@o,0,1,2
F?BEG,0,1,2
F?BDG,0,1,2
F?B@g,0,1,2
F?BF_,0,1,2
F?BDo,0,1,2
F?BFG,0,1,2
F?BDg,0,1,2
F?B@w,0,1,2
F?BFo,0,1,2
F?BFg,0,1,2
F?BDw,0,1,2
F?BFw,0,1,2
F?Bf?,0,1,2
F?Be_,0,1,2
F?Bco,0,1,2
F?Bf_,0,1,2
F?Beo,0,1,2
F?BfG,0,1,2
F?Beg,0,1,2
F?Bcw,0,1,2
F?Bfo,0,1,2
F?Bfg,0,1,2
F?Bew,0,1,2
F?Bfw,0,1,2
F?Bv_,0,1,2
F?BvO,0,1,2
F?Bvo,0,1,2
F?Bvg,0,1,2
F?BvW,0,1,2
F?Bvw,0,1,2
F?B~o,0,1,2
F?B~w,0,1,2
F?`@?,0,1,2
F?`E?,0,1,2
F?`D?,0,1,2
F?`@_,0,1,2
F?`CO,0,1,2
F?`F?,0,1,2
F?`D_,0,1,2
F?`EO,0,1,2
F?`DO,0,1,2
F?`F_,0,1,2
F?`FO,0,1,2
F?`Do,0,1,2
F?`EW,0,1,2
F?`Fo,0,1,2
F?`FW,0,1,2
F?`Fw,0,1,2
F?bAO,0,1,2
F?bF?,0,1,2
F?bB_,0,1,2
F?bEO,0,1,2
F?bBO,0,1,2
F?bEG,0,1,2
F?bDG,0,1,2
F?bF_,0,1,2
F?bFO,0,1,2
F?bDo,0,1,2
F?bBo,0,1,2
F?bFG,0,1,2
F?bDg,0,1,2
F?bEW,0,1,2
F?bFo,0,1,2
F?bFg,0,1,2
F?bFW,0,1,2
F?bFw,0,1,2
F?`e?,0,1,2
F?`b?,0,1,2
F?`c_,0,1,2
F?`cO,0,1,2
F?`f?,0,1,2
F?`e_,0,1,2
F?`b_,0,1,2
F?`eO,0,1,2
F?`co,0,1,2
F?`eG,0,1,2
F?`bG,0,1,2
F?`cg,0,1,2
F?`ag,0,1,2
F?`cW,0,1,2
F?`f_,0,1,2
F?`fO,0,1,2
F?`eo,0,1,2
F?`fG,0,1,2
F?`eg,0,1,2
F?`bg,0,1,2
F?`eW,0,1,2
F?`cw,0,1,2
F?`fo,0,1,2
F?`fg,0,1,2
F?`fW,0,1,2
F?`ew,0,1,2
F?`fw,0,1,2
F?aJ_,0,1,2
F?aKW,0,1,2
F?aN_,0,1,2
F?aNO,0,1,2
F?aMW,0,1,2
F?aNo,0,1,2
F?aNW,0,1,2
F?aNw,0,1,2
F?bbO,0,1,2
F?bao,0,1,2
F?bf_,0,1,2
F?bfO,0,1,2
F?beo,0,1,2
F?bbo,0,1,2
F?bfG,0,1,2
F?beg,0,1,2
F?beW,0,1,2
F?bbW,0,1,2
F?bcw,0,1,2
